asset_class,gamma,skill,overconfidence,diag_stated_confidence,diag_mean_calibrated_confidence,diag_final_calibrated_confidence,diag_directional_hit_rate,diag_surprise_hit_rate,diag_views_resolved
crypto,0.5,0.0,1.0,0.314,0.06763068274751194,0.054833333333333345,0.51325,0.50575,100.0
crypto,0.5,0.0,2.0,0.628,0.06763068274751194,0.054833333333333345,0.51325,0.50575,100.0
crypto,0.5,0.2,1.0,0.38973190358856497,0.1450614825861334,0.15671428571428572,0.58175,0.572,100.0
crypto,0.5,0.2,2.0,0.7794638071771299,0.1450614825861334,0.15671428571428572,0.58175,0.572,100.0
crypto,0.5,0.4,1.0,0.4833858326082366,0.2298480361700705,0.2680952380952381,0.6407499999999999,0.635,100.0
crypto,0.5,0.4,2.0,0.9667716652164732,0.2298480361700705,0.2680952380952381,0.6407499999999999,0.635,100.0
crypto,1.2,0.0,1.0,0.314,0.06763068274751194,0.054833333333333345,0.51325,0.50575,100.0
crypto,1.2,0.0,2.0,0.628,0.06763068274751194,0.054833333333333345,0.51325,0.50575,100.0
crypto,1.2,0.2,1.0,0.38973190358856497,0.1450614825861334,0.15671428571428572,0.58175,0.572,100.0
crypto,1.2,0.2,2.0,0.7794638071771299,0.1450614825861334,0.15671428571428572,0.58175,0.572,100.0
crypto,1.2,0.4,1.0,0.4833858326082366,0.2298480361700705,0.2680952380952381,0.6407499999999999,0.635,100.0
crypto,1.2,0.4,2.0,0.9667716652164732,0.2298480361700705,0.2680952380952381,0.6407499999999999,0.635,100.0
crypto,2.5,0.0,1.0,0.314,0.06763068274751194,0.054833333333333345,0.51325,0.50575,100.0
crypto,2.5,0.0,2.0,0.628,0.06763068274751194,0.054833333333333345,0.51325,0.50575,100.0
crypto,2.5,0.2,1.0,0.38973190358856497,0.1450614825861334,0.15671428571428572,0.58175,0.572,100.0
crypto,2.5,0.2,2.0,0.7794638071771299,0.1450614825861334,0.15671428571428572,0.58175,0.572,100.0
crypto,2.5,0.4,1.0,0.4833858326082366,0.2298480361700705,0.2680952380952381,0.6407499999999999,0.635,100.0
crypto,2.5,0.4,2.0,0.9667716652164732,0.2298480361700705,0.2680952380952381,0.6407499999999999,0.635,100.0
crypto,5.0,0.0,1.0,0.314,0.06763068274751194,0.054833333333333345,0.51325,0.50575,100.0
crypto,5.0,0.0,2.0,0.628,0.06763068274751194,0.054833333333333345,0.51325,0.50575,100.0
crypto,5.0,0.2,1.0,0.38973190358856497,0.1450614825861334,0.15671428571428572,0.58175,0.572,100.0
crypto,5.0,0.2,2.0,0.7794638071771299,0.1450614825861334,0.15671428571428572,0.58175,0.572,100.0
crypto,5.0,0.4,1.0,0.4833858326082366,0.2298480361700705,0.2680952380952381,0.6407499999999999,0.635,100.0
crypto,5.0,0.4,2.0,0.9667716652164732,0.2298480361700705,0.2680952380952381,0.6407499999999999,0.635,100.0
crypto,8.0,0.0,1.0,0.314,0.06763068274751194,0.054833333333333345,0.51325,0.50575,100.0
crypto,8.0,0.0,2.0,0.628,0.06763068274751194,0.054833333333333345,0.51325,0.50575,100.0
crypto,8.0,0.2,1.0,0.38973190358856497,0.1450614825861334,0.15671428571428572,0.58175,0.572,100.0
crypto,8.0,0.2,2.0,0.7794638071771299,0.1450614825861334,0.15671428571428572,0.58175,0.572,100.0
crypto,8.0,0.4,1.0,0.4833858326082366,0.2298480361700705,0.2680952380952381,0.6407499999999999,0.635,100.0
crypto,8.0,0.4,2.0,0.9667716652164732,0.2298480361700705,0.2680952380952381,0.6407499999999999,0.635,100.0
